Keys,IV,PlainText,CipherText,CipherTextLength,PlainTextLength,Key1,Key2,Key3
010101010101010102020202020202020404040404040404,0000000000000000,0000000000000000,35740E4F7E99260F,64,64,0101010101010101,0202020202020202,0404040404040404
010101010101010102020202020202020404040404040407,0000000000000000,0000000000000000,6CA10F1E7798E780,64,64,0101010101010101,0202020202020202,0404040404040407
010101010101010102020202020202020404040404040401,0000000000000000,0000000000000000,6FBCEF2F6AE0F506,64,64,0101010101010101,0202020202020202,0404040404040401
01010101010101010202020202020202040404040404040D,0000000000000000,0000000000000000,86976F630A2E8765,64,64,0101010101010101,0202020202020202,040404040404040D
010101010101010102020202020202020404040404040415,0000000000000000,0000000000000000,4DB4CC2C0A8C7245,64,64,0101010101010101,0202020202020202,0404040404040415
010101010101010102020202020202020404040404040425,0000000000000000,0000000000000000,025E7173C07AA7D4,64,64,0101010101010101,0202020202020202,0404040404040425
010101010101010102020202020202020404040404040445,0000000000000000,0000000000000000,AC1D4095F6323AC5,64,64,0101010101010101,0202020202020202,0404040404040445
010101010101010102020202020202020404040404040485,0000000000000000,0000000000000000,4B8ACD3E877F4B29,64,64,0101010101010101,0202020202020202,0404040404040485
010101010101010102020202020202020404040404040704,0000000000000000,0000000000000000,45E35E78A72F9B69,64,64,0101010101010101,0202020202020202,0404040404040704
010101010101010102020202020202020404040404040104,0000000000000000,0000000000000000,E407CD3326B0B357,64,64,0101010101010101,0202020202020202,0404040404040104
010101010101010102020202020202020404040404040D04,0000000000000000,0000000000000000,3A270F56B4F01400,64,64,0101010101010101,0202020202020202,0404040404040D04
010101010101010102020202020202020404040404041504,0000000000000000,0000000000000000,514EB77B9AB43A06,64,64,0101010101010101,0202020202020202,0404040404041504
010101010101010102020202020202020404040404042504,0000000000000000,0000000000000000,C03D1ECC55BC2A58,64,64,0101010101010101,0202020202020202,0404040404042504
010101010101010102020202020202020404040404044504,0000000000000000,0000000000000000,0615C34C85B39F9C,64,64,0101010101010101,0202020202020202,0404040404044504
010101010101010102020202020202020404040404048504,0000000000000000,0000000000000000,04BFC3B3EEBE582C,64,64,0101010101010101,0202020202020202,0404040404048504
010101010101010102020202020202020404040404070404,0000000000000000,0000000000000000,CADEC55D8F1FA118,64,64,0101010101010101,0202020202020202,0404040404070404
010101010101010102020202020202020404040404010404,0000000000000000,0000000000000000,6CEC9B15C32B0901,64,64,0101010101010101,0202020202020202,0404040404010404
0101010101010101020202020202020204040404040D0404,0000000000000000,0000000000000000,A8FED45B30BB6BD9,64,64,0101010101010101,0202020202020202,04040404040D0404
010101010101010102020202020202020404040404150404,0000000000000000,0000000000000000,E7682CD4213312AA,64,64,0101010101010101,0202020202020202,0404040404150404
010101010101010102020202020202020404040404250404,0000000000000000,0000000000000000,A0619C9E464BD85E,64,64,0101010101010101,0202020202020202,0404040404250404
010101010101010102020202020202020404040404450404,0000000000000000,0000000000000000,ED1AEB8E71343E83,64,64,0101010101010101,0202020202020202,0404040404450404
010101010101010102020202020202020404040404850404,0000000000000000,0000000000000000,9D7DEDB15C40EE80,64,64,0101010101010101,0202020202020202,0404040404850404
010101010101010102020202020202020404040407040404,0000000000000000,0000000000000000,32BC4F02099D684D,64,64,0101010101010101,0202020202020202,0404040407040404
010101010101010102020202020202020404040401040404,0000000000000000,0000000000000000,B6C8DBEF4697031A,64,64,0101010101010101,0202020202020202,0404040401040404
01010101010101010202020202020202040404040D040404,0000000000000000,0000000000000000,72A38AE5187C97E5,64,64,0101010101010101,0202020202020202,040404040D040404
010101010101010102020202020202020404040415040404,0000000000000000,0000000000000000,0E647E99A3D191E8,64,64,0101010101010101,0202020202020202,0404040415040404
010101010101010102020202020202020404040425040404,0000000000000000,0000000000000000,E6B0029C4C5B7F0F,64,64,0101010101010101,0202020202020202,0404040425040404
010101010101010102020202020202020404040445040404,0000000000000000,0000000000000000,0677E07EFA4DB272,64,64,0101010101010101,0202020202020202,0404040445040404
010101010101010102020202020202020404040485040404,0000000000000000,0000000000000000,2FFE7548A4850B9D,64,64,0101010101010101,0202020202020202,0404040485040404
010101010101010102020202020202020404040704040404,0000000000000000,0000000000000000,CD28EEE1ED6A1582,64,64,0101010101010101,0202020202020202,0404040704040404
010101010101010102020202020202020404040104040404,0000000000000000,0000000000000000,0C180F62858C3023,64,64,0101010101010101,0202020202020202,0404040104040404
010101010101010102020202020202020404040D04040404,0000000000000000,0000000000000000,46A690D0A8D6A352,64,64,0101010101010101,0202020202020202,0404040D04040404
010101010101010102020202020202020404041504040404,0000000000000000,0000000000000000,A92B063C0F3783A5,64,64,0101010101010101,0202020202020202,0404041504040404
010101010101010102020202020202020404042504040404,0000000000000000,0000000000000000,690E561D66C45741,64,64,0101010101010101,0202020202020202,0404042504040404
010101010101010102020202020202020404044504040404,0000000000000000,0000000000000000,746B553FCDE12A6B,64,64,0101010101010101,0202020202020202,0404044504040404
010101010101010102020202020202020404048504040404,0000000000000000,0000000000000000,37CF6DDE974D92B9,64,64,0101010101010101,0202020202020202,0404048504040404
