Keys,IV,PlainText,CipherText,CipherTextLength,PlainTextLength,Key1,Key2,Key3
104691348998013101010101010101011007103489988020,0000000000000000,0000000000000000,6883E150C322944E,64,64,1046913489980131,0101010101010101,1007103489988020
10071034C898012001010101010101011046103489988020,0000000000000000,0000000000000000,AA4C3AA705F0C040,64,64,10071034C8980120,0101010101010101,1046103489988020
108691151919010101010101010101011086911519580101,0000000000000000,0000000000000000,42FAA8828B7E1A43,64,64,1086911519190101,0101010101010101,1086911519580101
5107B0151958010101010101010101011007B01519190101,0000000000000000,0000000000000000,C161B8E00E3CB0A5,64,64,5107B01519580101,0101010101010101,1007B01519190101
310791549808010101010101010101013107919498080101,0000000000000000,0000000000000000,9FB8D9A8003C9105,64,64,3107915498080101,0101010101010101,3107919498080101
10079115B908014001010101010101013107911598080140,0000000000000000,0000000000000000,A5620E37B482170E,64,64,10079115B9080140,0101010101010101,3107911598080140
1007D0158998010101010101010101019107911589980101,0000000000000000,0000000000000000,A99F9B4C5A651DAE,64,64,1007D01589980101,0101010101010101,9107911589980101
9107D0158919010101010101010101011007D01598980120,0000000000000000,0000000000000000,6F549AD3E383F782,64,64,9107D01589190101,0101010101010101,1007D01598980120
100794049819010101010101010101010107910491190401,0000000000000000,0000000000000000,DE8775F0CB26C58C,64,64,1007940498190101,0101010101010101,0107910491190401
010791049119010101010101010101010107940491190401,0000000000000000,0000000000000000,F154ACE8F1BCD914,64,64,0107910491190101,0101010101010101,0107940491190401
19079210981A010101010101010101011007911998190801,0000000000000000,0000000000000000,60D1BE6D7170E2A4,64,64,19079210981A0101,0101010101010101,1007911998190801
10079119981A080101010101010101011007921098190101,0000000000000000,0000000000000000,14DB30D13B962855,64,64,10079119981A0801,0101010101010101,1007921098190101
100791159819010B01010101010101011004801598190101,0000000000000000,0000000000000000,71F54DD906EA3E01,64,64,100791159819010B,0101010101010101,1004801598190101
100480159819010201010101010101011004801598190108,0000000000000000,0000000000000000,18CC3F6C6FF2F941,64,64,1004801598190102,0101010101010101,1004801598190108
100291159810010401010101010101011002911598190104,0000000000000000,0000000000000000,39A434114D9AEB8F,64,64,1002911598100104,0101010101010101,1002911598190104
100291159810020101010101010101011002911698100101,0000000000000000,0000000000000000,4A52DE87EB090BE3,64,64,1002911598100201,0101010101010101,1002911698100101
